,Suburb,Address,Type,Method,SellerG,Date,CouncilArea,Regionname,Propertycount
18,Abbotsford,196 Nicholson St,h,S,Collins,17/09/2016,Yarra,Northern Metropolitan,4019.0
19,Abbotsford,42 Valiant St,h,S,Biggin,17/09/2016,Yarra,Northern Metropolitan,4019.0
20,Abbotsford,3/72 Charles St,h,PI,Kay,18/03/2017,Yarra,Northern Metropolitan,4019.0
21,Abbotsford,13/11 Nicholson St,t,S,Beller,18/03/2017,Yarra,Northern Metropolitan,4019.0
22,Abbotsford,138/56 Nicholson St,u,S,Jellis,18/03/2017,Yarra,Northern Metropolitan,4019.0
23,Abbotsford,6/219 Nicholson St,u,S,Collins,18/06/2016,Yarra,Northern Metropolitan,4019.0
24,Abbotsford,52a William St,h,PI,Biggin,18/06/2016,Yarra,Northern Metropolitan,4019.0
25,Abbotsford,49 Park St,h,S,Marshall,19/11/2016,Yarra,Northern Metropolitan,4019.0
26,Abbotsford,5/20 Abbotsford St,u,SP,Greg,22/08/2016,Yarra,Northern Metropolitan,4019.0
27,Abbotsford,48 Abbotsford St,h,PI,Nelson,22/08/2016,Yarra,Northern Metropolitan,4019.0
28,Abbotsford,116/56 Nicholson St,u,S,Jellis,22/08/2016,Yarra,Northern Metropolitan,4019.0
29,Abbotsford,159 Park St,h,S,Nelson,22/08/2016,Yarra,Northern Metropolitan,4019.0
30,Abbotsford,31 Turner St,h,S,Collins,24/09/2016,Yarra,Northern Metropolitan,4019.0
31,Abbotsford,166 Gipps St,h,S,Biggin,25/02/2017,Yarra,Northern Metropolitan,4019.0
32,Abbotsford,60 Stafford St,h,S,Biggin,25/02/2017,Yarra,Northern Metropolitan,4019.0
33,Abbotsford,11/205 Gipps St,u,S,Nelson,26/07/2016,Yarra,Northern Metropolitan,4019.0
34,Abbotsford,47 Studley St,h,S,Jellis,27/11/2016,Yarra,Northern Metropolitan,4019.0
35,Abbotsford,45 Yarra St,h,SP,Jellis,27/11/2016,Yarra,Northern Metropolitan,4019.0
36,Abbotsford,200 Nicholson St,h,S,Nelson,28/05/2016,Yarra,Northern Metropolitan,4019.0
37,Abbotsford,27 Charles St,h,S,Biggin,30/07/2016,Yarra,Northern Metropolitan,4019.0
38,Airport West,154 Halsey Rd,t,PI,Nelson,3/09/2016,Moonee Valley,Western Metropolitan,3464.0
39,Airport West,50 Bedford St,h,VB,Nelson,3/12/2016,Moonee Valley,Western Metropolitan,3464.0
40,Airport West,50 Bedford St,h,SP,Nelson,4/03/2017,Moonee Valley,Western Metropolitan,3464.0
41,Airport West,23 Hart St,h,S,Nelson,4/03/2017,Moonee Valley,Western Metropolitan,3464.0
42,Airport West,1/80 Hawker St,t,S,Brad,4/03/2017,Moonee Valley,Western Metropolitan,3464.0
43,Airport West,1/37 Hillside Gr,h,S,Maddison,4/03/2017,Moonee Valley,Western Metropolitan,3464.0
44,Airport West,2/49 McIntosh St,u,VB,Barry,4/03/2017,Moonee Valley,Western Metropolitan,3464.0
45,Airport West,54 Marshall Rd,h,S,Barry,6/08/2016,Moonee Valley,Western Metropolitan,3464.0
46,Airport West,36 Roberts Rd,h,S,Considine,6/08/2016,Moonee Valley,Western Metropolitan,3464.0
47,Airport West,11 Harrington Rd,h,SP,Barry,7/05/2016,Moonee Valley,Western Metropolitan,3464.0
48,Airport West,2/252 Parer Rd,t,S,Barry,7/05/2016,Moonee Valley,Western Metropolitan,3464.0
49,Airport West,3/19 Hart St,u,S,Barry,7/11/2016,Moonee Valley,Western Metropolitan,3464.0
50,Airport West,2/62 Clydesdale Rd,u,S,Nelson,10/09/2016,Moonee Valley,Western Metropolitan,3464.0
51,Airport West,3 Deidre Ct,h,PI,Rendina,10/09/2016,Moonee Valley,Western Metropolitan,3464.0
52,Airport West,13 Etzel St,h,S,Nelson,10/12/2016,Moonee Valley,Western Metropolitan,3464.0
53,Airport West,1/43 Cameron St,u,S,Nelson,11/02/2017,Moonee Valley,Western Metropolitan,3464.0
54,Airport West,145a Victory Rd,u,S,Barry,13/08/2016,Moonee Valley,Western Metropolitan,3464.0
55,Airport West,241 Parer Rd,h,PI,Propertyau,14/05/2016,Moonee Valley,Western Metropolitan,3464.0
56,Airport West,2/40 Earl St,t,PI,Brad,15/10/2016,Moonee Valley,Western Metropolitan,3464.0
57,Airport West,180 Parer Rd,h,S,Barry,16/04/2016,Moonee Valley,Western Metropolitan,3464.0
58,Airport West,4/54 Hawker St,u,S,Barry,16/07/2016,Moonee Valley,Western Metropolitan,3464.0
59,Airport West,43 Hillside Gr,h,SP,Barry,16/07/2016,Moonee Valley,Western Metropolitan,3464.0
60,Airport West,174 Parer Rd,h,S,Barry,16/07/2016,Moonee Valley,Western Metropolitan,3464.0
61,Airport West,138 Victory Rd,h,S,Nelson,16/07/2016,Moonee Valley,Western Metropolitan,3464.0
62,Airport West,75 King St,h,S,McDonald,17/09/2016,Moonee Valley,Western Metropolitan,3464.0
63,Airport West,6 Kittyhawk St,h,S,Brad,17/09/2016,Moonee Valley,Western Metropolitan,3464.0
64,Airport West,478 Fullarton Rd,h,PI,Barry,18/03/2017,Moonee Valley,Western Metropolitan,3464.0
65,Airport West,144 Marshall Rd,h,S,Rendina,18/03/2017,Moonee Valley,Western Metropolitan,3464.0
66,Airport West,106 Parer Rd,h,S,Nelson,18/03/2017,Moonee Valley,Western Metropolitan,3464.0
67,Airport West,3/7 South Rd,t,SP,Nelson,18/06/2016,Moonee Valley,Western Metropolitan,3464.0
68,Airport West,37 North St,t,SP,Barry,19/11/2016,Moonee Valley,Western Metropolitan,3464.0
69,Airport West,10 Hilbert Rd,h,S,Barry,22/05/2016,Moonee Valley,Western Metropolitan,3464.0
70,Airport West,110 Halsey Rd,h,S,Barry,22/08/2016,Moonee Valley,Western Metropolitan,3464.0
71,Airport West,2/13 North St,u,S,Nelson,22/08/2016,Moonee Valley,Western Metropolitan,3464.0
72,Airport West,105a Victory Rd,h,S,Nelson,22/08/2016,Moonee Valley,Western Metropolitan,3464.0
73,Airport West,117 Marshall Rd,h,S,Brad,23/04/2016,Moonee Valley,Western Metropolitan,3464.0
74,Airport West,34 Moorna Dr,h,S,Nelson,24/09/2016,Moonee Valley,Western Metropolitan,3464.0
75,Airport West,33 North St,h,PI,Nelson,25/02/2017,Moonee Valley,Western Metropolitan,3464.0
76,Airport West,49 Roberts Rd,h,S,Prof.,27/11/2016,Moonee Valley,Western Metropolitan,3464.0
77,Airport West,85 Roberts Rd,h,S,Harcourts,27/11/2016,Moonee Valley,Western Metropolitan,3464.0
78,Albert Park,105 Kerferd Rd,h,S,hockingstuart,3/09/2016,Port Phillip,Southern Metropolitan,3280.0
79,Albert Park,85 Richardson St,h,S,Thomson,3/09/2016,Port Phillip,Southern Metropolitan,3280.0
80,Albert Park,112 Beaconsfield Pde,h,PI,Buxton,4/03/2017,Port Phillip,Southern Metropolitan,3280.0
81,Albert Park,94 Graham St,h,S,Greg,4/03/2017,Port Phillip,Southern Metropolitan,3280.0
82,Albert Park,396 Montague St,h,S,RT,4/03/2017,Port Phillip,Southern Metropolitan,3280.0
83,Albert Park,75 Graham St,h,S,Marshall,6/08/2016,Port Phillip,Southern Metropolitan,3280.0
84,Albert Park,54 Brooke St,h,S,Sotheby's,7/05/2016,Port Phillip,Southern Metropolitan,3280.0
85,Albert Park,104 Richardson St,h,S,Marshall,7/05/2016,Port Phillip,Southern Metropolitan,3280.0
86,Albert Park,4a Mills St,t,VB,Marshall,7/11/2016,Port Phillip,Southern Metropolitan,3280.0
87,Albert Park,1 Moubray St,h,VB,Greg,7/11/2016,Port Phillip,Southern Metropolitan,3280.0
88,Albert Park,29 Faussett St,h,S,Greg,10/09/2016,Port Phillip,Southern Metropolitan,3280.0
89,Albert Park,3 Herbert St,h,VB,Cayzer,10/09/2016,Port Phillip,Southern Metropolitan,3280.0
90,Albert Park,24 Kerferd Pl,h,S,Marshall,10/09/2016,Port Phillip,Southern Metropolitan,3280.0
91,Albert Park,44 Draper St,h,PI,Greg,10/12/2016,Port Phillip,Southern Metropolitan,3280.0
92,Albert Park,2 Dundas Pl,h,S,Cayzer,10/12/2016,Port Phillip,Southern Metropolitan,3280.0
93,Albert Park,23 Finlay St,h,S,Greg,10/12/2016,Port Phillip,Southern Metropolitan,3280.0
94,Albert Park,31 Richardson St,h,S,hockingstuart,10/12/2016,Port Phillip,Southern Metropolitan,3280.0
95,Albert Park,4a Gatehouse La,h,S,Greg,12/06/2016,Port Phillip,Southern Metropolitan,3280.0
96,Albert Park,60 Brooke St,h,S,Cayzer,12/11/2016,Port Phillip,Southern Metropolitan,3280.0
97,Albert Park,70 Barrett St,h,S,Greg,15/10/2016,Port Phillip,Southern Metropolitan,3280.0
98,Albert Park,65 Graham St,h,S,Greg,15/10/2016,Port Phillip,Southern Metropolitan,3280.0
99,Albert Park,364 Montague St,h,S,Greg,15/10/2016,Port Phillip,Southern Metropolitan,3280.0
100,Albert Park,86 Mills St,h,VB,RT,16/04/2016,Port Phillip,Southern Metropolitan,3280.0
101,Albert Park,129 Kerferd Rd,h,S,Greg,18/03/2017,Port Phillip,Southern Metropolitan,3280.0
102,Albert Park,97 Page St,h,S,Greg,18/03/2017,Port Phillip,Southern Metropolitan,3280.0
103,Albert Park,55 Withers St,h,VB,Cayzer,18/06/2016,Port Phillip,Southern Metropolitan,3280.0
104,Albert Park,10/140 Kerferd Rd,u,S,Greg,22/05/2016,Port Phillip,Southern Metropolitan,3280.0
105,Albert Park,55 Merton St,h,SP,Marshall,23/04/2016,Port Phillip,Southern Metropolitan,3280.0
106,Albert Park,49 Page St,h,PI,Marshall,24/09/2016,Port Phillip,Southern Metropolitan,3280.0
107,Albert Park,13/52 Moubray St,u,S,Marshall,25/02/2017,Port Phillip,Southern Metropolitan,3280.0
108,Albert Park,115 Page St,h,S,Marshall,25/02/2017,Port Phillip,Southern Metropolitan,3280.0
109,Albert Park,32 Page St,h,S,Greg,25/02/2017,Port Phillip,Southern Metropolitan,3280.0
110,Albert Park,34 Richardson St,h,S,hockingstuart,25/02/2017,Port Phillip,Southern Metropolitan,3280.0
111,Albert Park,2b Dundas Pl,h,S,Chisholm,26/07/2016,Port Phillip,Southern Metropolitan,3280.0
112,Albert Park,22 Greig St,h,S,Greg,26/07/2016,Port Phillip,Southern Metropolitan,3280.0
113,Albert Park,27 Barrett St,h,S,Greg,27/06/2016,Port Phillip,Southern Metropolitan,3280.0
114,Albert Park,44 Greig St,h,S,Marshall,27/11/2016,Port Phillip,Southern Metropolitan,3280.0
115,Albert Park,6 Brooke St,h,S,Greg,28/05/2016,Port Phillip,Southern Metropolitan,3280.0
116,Albert Park,227a Danks St,h,S,hockingstuart,28/08/2016,Port Phillip,Southern Metropolitan,3280.0
117,Albert Park,17 Reed St,h,PI,Marshall,28/08/2016,Port Phillip,Southern Metropolitan,3280.0
118,Albert Park,74 Bridport St,h,VB,Buxton,30/07/2016,Port Phillip,Southern Metropolitan,3280.0
119,Albert Park,9 Durham St,h,S,Marshall,30/07/2016,Port Phillip,Southern Metropolitan,3280.0
120,Alphington,6 Smith St,h,S,Brace,3/09/2016,Darebin,Northern Metropolitan,2211.0
121,Alphington,5/6 Yarralea St,h,S,Jellis,3/09/2016,Yarra,Northern Metropolitan,2211.0
122,Alphington,136A Fulham Rd,h,S,Jellis,4/03/2017,Darebin,Northern Metropolitan,2211.0
123,Alphington,44 Shiers St,h,S,Collins,8/10/2016,Darebin,Northern Metropolitan,2211.0
124,Alphington,83 Fulham Rd,h,S,Nelson,12/06/2016,Darebin,Northern Metropolitan,2211.0
125,Alphington,3/19 Harker St,u,S,Miles,12/11/2016,Darebin,Northern Metropolitan,2211.0
126,Alphington,4/2 Miller St,t,S,Miles,12/11/2016,Darebin,Northern Metropolitan,2211.0
127,Alphington,2/5 Yarana Rd,u,S,McGrath,12/11/2016,Darebin,Northern Metropolitan,2211.0
128,Alphington,815 Heidelberg Rd,h,PI,hockingstuart,15/10/2016,Darebin,Northern Metropolitan,2211.0
129,Alphington,44 Naroon Rd,h,S,Nelson,16/04/2016,Darebin,Northern Metropolitan,2211.0
130,Alphington,3/98 Grange Rd,u,S,Nelson,18/03/2017,Darebin,Northern Metropolitan,2211.0
131,Alphington,10 Bennett St,h,S,Nelson,19/11/2016,Darebin,Northern Metropolitan,2211.0
132,Alphington,38 Bennett St,h,S,Nelson,19/11/2016,Darebin,Northern Metropolitan,2211.0
133,Alphington,2c Hamilton St,h,SP,hockingstuart,22/05/2016,Darebin,Northern Metropolitan,2211.0
134,Alphington,5/5 Yarana Rd,u,VB,Nelson,22/05/2016,Darebin,Northern Metropolitan,2211.0
135,Alphington,7/7 Chandler Hwy,t,SP,Brace,24/09/2016,Yarra,Northern Metropolitan,2211.0
136,Alphington,1/14 Fulham Rd,u,S,Love,25/02/2017,Darebin,Northern Metropolitan,2211.0
137,Alphington,22 Lowther St,h,S,Barry,27/06/2016,Yarra,Northern Metropolitan,2211.0
138,Alphington,11 Margaret Gr,h,SP,McGrath,27/11/2016,Yarra,Northern Metropolitan,2211.0
139,Alphington,6 Naroon Rd,h,SP,McGrath,28/08/2016,Darebin,Northern Metropolitan,2211.0
140,Alphington,42 Shiers St,h,S,Jellis,30/07/2016,Darebin,Northern Metropolitan,2211.0
141,Altona,158 Queen St,h,VB,Greg,3/09/2016,Hobsons Bay,Western Metropolitan,5301.0
142,Altona,59 Bracken Gr,h,S,Greg,3/12/2016,Hobsons Bay,Western Metropolitan,5301.0
143,Altona,1/123 Blyth St,t,S,hockingstuart,4/02/2016,Hobsons Bay,Western Metropolitan,5301.0
144,Altona,4 Blyth St,h,S,Barlow,4/03/2017,Hobsons Bay,Western Metropolitan,5301.0
145,Altona,20 Linnet St,h,PI,Sweeney,4/06/2016,Hobsons Bay,Western Metropolitan,5301.0
146,Altona,29 Rose St,h,SP,Greg,4/06/2016,Hobsons Bay,Western Metropolitan,5301.0
147,Altona,1/170 Blyth St,u,S,Barlow,6/08/2016,Hobsons Bay,Western Metropolitan,5301.0
148,Altona,5/35 Grieve Pde,u,SP,hockingstuart,6/08/2016,Hobsons Bay,Western Metropolitan,5301.0
149,Altona,156 Maidstone St,h,VB,Greg,7/05/2016,Hobsons Bay,Western Metropolitan,5301.0
150,Altona,11 Keeshan Ct,h,S,Greg,7/11/2016,Hobsons Bay,Western Metropolitan,5301.0
151,Altona,1/136 Queen St,u,S,Barlow,8/10/2016,Hobsons Bay,Western Metropolitan,5301.0
152,Altona,173 Queen St,h,S,hockingstuart,8/10/2016,Hobsons Bay,Western Metropolitan,5301.0
153,Altona,1/265 Queen St,t,SP,hockingstuart,8/10/2016,Hobsons Bay,Western Metropolitan,5301.0
154,Altona,3/26 Grieve Pde,u,S,Village,10/09/2016,Hobsons Bay,Western Metropolitan,5301.0
155,Altona,261 Queen St,h,S,Barlow,10/09/2016,Hobsons Bay,Western Metropolitan,5301.0
156,Altona,4/5 Rose St,u,S,hockingstuart,10/09/2016,Hobsons Bay,Western Metropolitan,5301.0
157,Altona,1/60 David St,u,S,Jas,10/12/2016,Hobsons Bay,Western Metropolitan,5301.0
158,Altona,1A Merritt Ct,t,S,hockingstuart,11/02/2017,Hobsons Bay,Western Metropolitan,5301.0
159,Altona,4/31 Millers Rd,u,SP,Greg,11/02/2017,Hobsons Bay,Western Metropolitan,5301.0
160,Altona,111/112 Pier St,u,SP,hockingstuart,11/02/2017,Hobsons Bay,Western Metropolitan,5301.0
161,Altona,24 Wren St,h,S,hockingstuart,11/02/2017,Hobsons Bay,Western Metropolitan,5301.0
162,Altona,1/152 Blyth St,t,SP,Gunn&Co,12/11/2016,Hobsons Bay,Western Metropolitan,5301.0
163,Altona,4/57 Blyth St,u,SP,Barlow,13/08/2016,Hobsons Bay,Western Metropolitan,5301.0
164,Altona,164 Maidstone St,h,S,Sweeney,14/05/2016,Hobsons Bay,Western Metropolitan,5301.0
165,Altona,3/25 Rayner St,u,SP,hockingstuart,14/05/2016,Hobsons Bay,Western Metropolitan,5301.0
166,Altona,3/46 Sargood St,u,S,Burnham,15/10/2016,Hobsons Bay,Western Metropolitan,5301.0
167,Altona,1/57 Blyth St,u,SP,Barlow,16/04/2016,Hobsons Bay,Western Metropolitan,5301.0
168,Altona,22 Fenfield St,h,S,hockingstuart,16/04/2016,Hobsons Bay,Western Metropolitan,5301.0
169,Altona,5/8 David St,u,PI,Biggin,16/07/2016,Hobsons Bay,Western Metropolitan,5301.0
170,Altona,1/28 Seves St,h,S,hockingstuart,17/09/2016,Hobsons Bay,Western Metropolitan,5301.0
171,Altona,27 McIntyre Dr,h,SP,Greg,18/03/2017,Hobsons Bay,Western Metropolitan,5301.0
172,Altona,4 Boyd St,h,S,Barlow,19/11/2016,Hobsons Bay,Western Metropolitan,5301.0
173,Altona,12 Spear Ct,t,S,hockingstuart,22/05/2016,Hobsons Bay,Western Metropolitan,5301.0
174,Altona,185 Queen St,h,PI,Barlow,22/08/2016,Hobsons Bay,Western Metropolitan,5301.0
175,Altona,3/20 Mulga St,u,S,Williams,23/04/2016,Hobsons Bay,Western Metropolitan,5301.0
176,Altona,51 Millers Rd,h,S,Barlow,25/02/2017,Hobsons Bay,Western Metropolitan,5301.0
177,Altona,2/119 Railway St N,u,S,Barlow,25/02/2017,Hobsons Bay,Western Metropolitan,5301.0
178,Altona,24 McIntyre Dr,h,S,Barlow,27/06/2016,Hobsons Bay,Western Metropolitan,5301.0
179,Altona,104 Maidstone St,h,SP,hockingstuart,27/11/2016,Hobsons Bay,Western Metropolitan,5301.0
180,Altona,49 Bent St,h,S,Barlow,28/05/2016,Hobsons Bay,Western Metropolitan,5301.0
181,Altona,5/57 Blyth St,u,SP,Barlow,28/05/2016,Hobsons Bay,Western Metropolitan,5301.0
182,Altona,15 Kookaburra St,h,S,Sweeney,28/05/2016,Hobsons Bay,Western Metropolitan,5301.0
183,Altona,219 Civic Pde,h,S,Greg,28/08/2016,Hobsons Bay,Western Metropolitan,5301.0
184,Altona,3 Curtin Ct,h,S,Sweeney,28/08/2016,Hobsons Bay,Western Metropolitan,5301.0
185,Altona,2/60 David St,h,SP,Compton,30/07/2016,Hobsons Bay,Western Metropolitan,5301.0
186,Altona North,45 Hearn St,h,S,FN,3/09/2016,Hobsons Bay,Western Metropolitan,5132.0
187,Altona North,4 Knapp St,h,S,Jas,3/09/2016,Hobsons Bay,Western Metropolitan,5132.0
188,Altona North,21 Hatherley Gr,h,SP,Jas,4/03/2017,Hobsons Bay,Western Metropolitan,5132.0
189,Altona North,3/66 Marion St,t,S,hockingstuart,4/03/2017,Hobsons Bay,Western Metropolitan,5132.0
190,Altona North,153 Mills St,h,S,Sweeney,4/03/2017,Hobsons Bay,Western Metropolitan,5132.0
191,Altona North,33 Carthy St,h,S,FN,4/06/2016,Hobsons Bay,Western Metropolitan,5132.0
192,Altona North,16 Harris St,h,S,Sweeney,4/06/2016,Hobsons Bay,Western Metropolitan,5132.0
193,Altona North,1/5 Little St,h,VB,Greg,6/08/2016,Hobsons Bay,Western Metropolitan,5132.0
194,Altona North,1/95 Mills St,h,S,Williams,7/05/2016,Hobsons Bay,Western Metropolitan,5132.0
195,Altona North,5 Binns St,h,PI,Village,7/11/2016,Hobsons Bay,Western Metropolitan,5132.0
196,Altona North,25 Allan St,h,SP,Jas,8/10/2016,Hobsons Bay,Western Metropolitan,5132.0
197,Altona North,21 Hatherley Gr,h,VB,Jas,10/12/2016,Hobsons Bay,Western Metropolitan,5132.0
198,Altona North,1/256 Mason St,t,S,Williams,11/03/2017,Hobsons Bay,Western Metropolitan,5132.0
199,Altona North,21 Allan St,h,SP,Williams,12/06/2016,Hobsons Bay,Western Metropolitan,5132.0
200,Altona North,2/36 May St,h,S,hockingstuart,14/05/2016,Hobsons Bay,Western Metropolitan,5132.0
201,Altona North,11 Beevers St,h,S,Greg,15/10/2016,Hobsons Bay,Western Metropolitan,5132.0
202,Altona North,10 Murphy St,h,SP,Gunn&Co,15/10/2016,Hobsons Bay,Western Metropolitan,5132.0
203,Altona North,16 Beevers St,h,S,Sweeney,19/11/2016,Hobsons Bay,Western Metropolitan,5132.0
204,Altona North,21 Neal Ct,h,SP,hockingstuart,19/11/2016,Hobsons Bay,Western Metropolitan,5132.0
205,Altona North,31 Duosa Rd,h,S,Greg,22/05/2016,Hobsons Bay,Western Metropolitan,5132.0
206,Altona North,252 Millers Rd,h,SP,Raine&Horne,22/05/2016,Hobsons Bay,Western Metropolitan,5132.0
207,Altona North,1/156 Chambers Rd,h,SP,Hunter,22/08/2016,Hobsons Bay,Western Metropolitan,5132.0
208,Altona North,2 Gadsden St,h,S,Jas,22/08/2016,Hobsons Bay,Western Metropolitan,5132.0
209,Altona North,24 Hansen St,h,S,hockingstuart,22/08/2016,Hobsons Bay,Western Metropolitan,5132.0
210,Altona North,4 Prismall St,h,S,Sweeney,22/08/2016,Hobsons Bay,Western Metropolitan,5132.0
211,Altona North,122 McIntosh Rd,h,S,Village,23/04/2016,Hobsons Bay,Western Metropolitan,5132.0
212,Altona North,35 May St,h,S,RT,24/09/2016,Hobsons Bay,Western Metropolitan,5132.0
213,Altona North,6 Hill St,h,S,hockingstuart,25/02/2017,Hobsons Bay,Western Metropolitan,5132.0
214,Altona North,84 May St,h,S,Greg,25/02/2017,Hobsons Bay,Western Metropolitan,5132.0
215,Altona North,155 Chambers Rd,h,S,Hunter,27/06/2016,Hobsons Bay,Western Metropolitan,5132.0
216,Altona North,268d Mason St,t,S,RT,27/06/2016,Hobsons Bay,Western Metropolitan,5132.0
217,Altona North,5 Cresser St,h,SP,RT,27/11/2016,Hobsons Bay,Western Metropolitan,5132.0
218,Altona North,107 McIntosh Rd,h,SP,Hunter,27/11/2016,Hobsons Bay,Western Metropolitan,5132.0
219,Altona North,10 Knapp St,h,PI,Hunter,28/05/2016,Hobsons Bay,Western Metropolitan,5132.0
220,Altona North,4/221 Blackshaws Rd,u,S,Jas,28/08/2016,Hobsons Bay,Western Metropolitan,5132.0
221,Armadale,8/19 Mercer Rd,u,S,Jellis,3/09/2016,Stonnington,Southern Metropolitan,4836.0
222,Armadale,1/42 Adelaide St,u,VB,Noel,3/12/2016,Stonnington,Southern Metropolitan,4836.0
223,Armadale,14/71 Denbigh Rd,u,S,Marshall,3/12/2016,Stonnington,Southern Metropolitan,4836.0
224,Armadale,4/769 High St,t,S,Jellis,3/12/2016,Stonnington,Southern Metropolitan,4836.0
225,Armadale,7 Llaneast St,h,S,Jellis,3/12/2016,Stonnington,Southern Metropolitan,4836.0
226,Armadale,9/55 Northcote Rd,u,S,Biggin,3/12/2016,Stonnington,Southern Metropolitan,4836.0
227,Armadale,28 Cambridge St,h,S,Hodges,4/03/2017,Stonnington,Southern Metropolitan,4836.0
228,Armadale,3/16 Fulton St,u,S,hockingstuart,4/03/2017,Stonnington,Southern Metropolitan,4836.0
229,Armadale,3/20 Mercer Rd,t,SP,Jellis,4/03/2017,Stonnington,Southern Metropolitan,4836.0
230,Armadale,1/77 Wattletree Rd,u,SP,hockingstuart,4/03/2017,Stonnington,Southern Metropolitan,4836.0
231,Armadale,12 Willis St,h,S,Marshall,4/03/2017,Stonnington,Southern Metropolitan,4836.0
232,Armadale,8/71 Denbigh Rd,u,VB,Jellis,4/06/2016,Stonnington,Southern Metropolitan,4836.0
233,Armadale,11/17 Myamyn St,u,S,Jellis,4/06/2016,Stonnington,Southern Metropolitan,4836.0
234,Armadale,526 Orrong Rd,h,VB,Jellis,4/06/2016,Stonnington,Southern Metropolitan,4836.0
235,Armadale,553 Dandenong Rd,h,PI,Jellis,7/05/2016,Stonnington,Southern Metropolitan,4836.0
236,Armadale,9/19 Mercer Rd,u,PI,Marshall,7/05/2016,Stonnington,Southern Metropolitan,4836.0
237,Armadale,6/26 Mercer Rd,u,S,Jellis,7/05/2016,Stonnington,Southern Metropolitan,4836.0
238,Armadale,538a Orrong Rd,t,S,RT,7/05/2016,Stonnington,Southern Metropolitan,4836.0
239,Armadale,18/41 Kooyong Rd,u,S,Marshall,8/10/2016,Stonnington,Southern Metropolitan,4836.0
240,Armadale,10 William St,h,SP,Jellis,8/10/2016,Stonnington,Southern Metropolitan,4836.0
241,Armadale,15/405 Dandenong Rd,u,PI,hockingstuart,10/09/2016,Stonnington,Southern Metropolitan,4836.0
242,Armadale,1/2 Armadale St,u,PI,hockingstuart,10/12/2016,Stonnington,Southern Metropolitan,4836.0
243,Armadale,4/20 Mercer Rd,h,S,Marshall,10/12/2016,Stonnington,Southern Metropolitan,4836.0
244,Armadale,8/58 Sutherland Rd,u,S,hockingstuart,10/12/2016,Stonnington,Southern Metropolitan,4836.0
245,Armadale,40 New St,h,S,Marshall,12/11/2016,Stonnington,Southern Metropolitan,4836.0
246,Armadale,35 Northcote Rd,h,S,Marshall,12/11/2016,Stonnington,Southern Metropolitan,4836.0
247,Armadale,7/53 Wattletree Rd,u,S,Jellis,14/05/2016,Stonnington,Southern Metropolitan,4836.0
248,Armadale,791 High St,h,PI,RT,15/10/2016,Stonnington,Southern Metropolitan,4836.0
249,Armadale,25 Llaneast St,h,PI,Jellis,15/10/2016,Stonnington,Southern Metropolitan,4836.0
250,Armadale,8/569 Orrong Rd,u,S,Jellis,16/04/2016,Stonnington,Southern Metropolitan,4836.0
251,Armadale,367 Dandenong Rd,h,S,Marshall,17/09/2016,Stonnington,Southern Metropolitan,4836.0
252,Armadale,34a Rose St,h,S,RT,17/09/2016,Stonnington,Southern Metropolitan,4836.0
253,Armadale,42 Rose St,h,S,Marshall,17/09/2016,Stonnington,Southern Metropolitan,4836.0
254,Armadale,12 Auburn Gr,h,S,hockingstuart,18/03/2017,Stonnington,Southern Metropolitan,4836.0
255,Armadale,31 Hume St,h,VB,Jellis,18/03/2017,Stonnington,Southern Metropolitan,4836.0
